tweet_id,tweet_link,author_name,author_handle,text,timestamp,likes,retweets,replies,image_urls,is_reply,reply_to,conversation_id
1910717958092914712,https://x.com/raraya_waiwai/status/1910717958092914712,Rahul,@raraya_waiwai,Hey!  @letsblinkit   you guys do delivery in 20 mins and sort out queries in 7 days. Your refundable policy is too time taking. What if i have limited money and you guys take 7 days refund policy,2025-04-11T15:33:55.000Z,0,0,4,https://pbs.twimg.com/media/GoQ72k1bYAMR9Tk?format=jpg&name=small,False,,
1910750604676247621,https://x.com/KumarAdity64181/status/1910750604676247621,aditya Kumar,@KumarAdity64181,@letsblinkit   Greater noida app serving not working,2025-04-11T17:43:38.000Z,0,0,4,,False,,
1910730358712422431,https://x.com/king_of_cubbon/status/1910730358712422431,KO,@king_of_cubbon,"@letsblinkit  Your warehouse in Yemalur, Bangalore has been consistently delivering spoilt or rotten refrigerated items. Almost 50% of the yoghurt deliveries were spoilt or expired. Please check with your warehouse if there is some issue with the cold chain.",2025-04-11T16:23:11.000Z,0,0,3,,False,,
1910387381489795572,https://x.com/poojajhinkwan/status/1910387381489795572,Pooja Jhinkwan,@poojajhinkwan,"Guys don’t order eggs from  @letsblinkit  or from anywhere!! Avoid for somedays! 
Just look at this post before ordering eggs!!!!",2025-04-10T17:40:19.000Z,264,28,100,https://pbs.twimg.com/media/GoMPMiwXUAAay3I?format=jpg&name=small,False,,
1910723159491273059,https://x.com/NigguOp/status/1910723159491273059,Tanishq,@NigguOp,"Happened with my sister also, customer support didn't help at all
It's best to go to a popular meat shop and buy a tray from there",2025-04-11T15:54:35.000Z,0,0,5,,False,,
1910713940759503279,https://x.com/sanusingh89191/status/1910713940759503279,sanu singh,@sanusingh89191,@letsblinkit   sare ande fute h kise phn kru...kuch der phle hi mngwaye thee...,2025-04-11T15:17:57.000Z,0,0,4,,False,,
1911027207641661853,https://x.com/Gouravc68609289/status/1911027207641661853,Gourav choudhary,@Gouravc68609289,@letsblinkit   it's three days still refund is not done wrost service,2025-04-12T12:02:46.000Z,0,0,2,,False,,
1911482505066131797,https://x.com/Gouravc68609289/status/1911482505066131797,Gourav choudhary,@Gouravc68609289,Which information,2025-04-13T18:11:57.000Z,0,0,3,,False,,
1910938425852637523,https://x.com/Pranav_D96/status/1910938425852637523,Pranav.,@Pranav_D96,"Hi  @zomato   @letsblinkit  , Assume I have ordered an item from BlinkIt for 229 Rs, There was 9 rs handling charge on that product, when I received the product it was defective hence I initiated the refund process, I received the refund only of item, what about handling charges?",2025-04-12T06:09:58.000Z,0,0,4,,False,,
1911478603205824516,https://x.com/uncanny_piscean/status/1911478603205824516,Uncanny,@uncanny_piscean,@fssaiindia  please look into  @letsblinkit,2025-04-13T17:56:27.000Z,0,0,3,,False,,
1910703430181470564,https://x.com/22Ketan/status/1910703430181470564,Ketan Patil,@22Ketan,@letsblinkit  Extremely disappointed with the support got by executive muhsina. Take some action against her for harassment. She talked like I was raising fake request. Delivery in 18 mis and no resolution in half hour.,2025-04-11T14:36:11.000Z,0,0,4,https://pbs.twimg.com/media/GoQupLSXoAAlaCR?format=jpg&name=small|https://pbs.twimg.com/media/GoQupI5W0AENwT8?format=jpg&name=small|https://pbs.twimg.com/media/GoQupF_XAAA_BEm?format=jpg&name=900x900|https://pbs.twimg.com/media/GoQupGwWIAAeF6p?format=jpg&name=900x900,False,,
1910702208200462688,https://x.com/aroraasanchit/status/1910702208200462688,Sanchit Arora,@aroraasanchit,"Ord 10 batwheels kinderjoy from blinkit and received diff & now not replacing.  @deepigoyal  your team is following dark patterns to sell products, playing with emotions of the people to buy you another aston martin.
 @letsblinkit   @zomato   @jagograhakjago   @HuhtamakiGroup",2025-04-11T14:31:20.000Z,1,2,4,https://pbs.twimg.com/media/GoQsy3QXEAEEyrA?format=jpg&name=small|https://pbs.twimg.com/media/GoQsy-zW4AA73Aj?format=jpg&name=360x360,False,,
1911165572945195183,https://x.com/vixyrai87/status/1911165572945195183,vikash rai k,@vixyrai87,@letsblinkit  I have received expired product and no response from support. Isn't it a crime to sell expired product?,2025-04-12T21:12:34.000Z,0,0,4,https://pbs.twimg.com/media/GoXS9dFXoAAEuGP?format=jpg&name=900x900,False,,
1911025322369200450,https://x.com/sajalcse2010/status/1911025322369200450,Sajal,@sajalcse2010,"@blinkitcares   @letsblinkit   @albinder  See the quality of product that blinkit delivers.. expired product and completely damaged.
 @jagograhakjago   @fssaiindia   @ministry",2025-04-12T11:55:16.000Z,0,1,3,https://pbs.twimg.com/media/GoVTZvvWkAAmSUs?format=jpg&name=360x360|https://pbs.twimg.com/media/GoVTZw1XUAAFdFR?format=jpg&name=360x360,False,,
1910701189580181825,https://x.com/piyushsngh416/status/1910701189580181825,Piyush Singh,@piyushsngh416,"Hi  @letsblinkit  . Guys, I ordered 2 cans but you have sent 12. 

I am happy to take them but if it gets deducted from the store manager's salary, then pls take it back.",2025-04-11T14:27:17.000Z,0,0,4,https://pbs.twimg.com/media/GoQsmyGWcAAVO7U?format=jpg&name=900x900,False,,
1911024380164849961,https://x.com/Mrsatyajeet_m/status/1911024380164849961,jeet,@Mrsatyajeet_m,"@BoultAudio   @letsblinkit  I buy Dash Cam X1  from Blink It. I chose this product based on its advertised features, particularly the ability to access live streaming. However  I was informed that live streaming is not available at all.

This situation is incredibly frustrating,",2025-04-12T11:51:32.000Z,0,0,3,https://pbs.twimg.com/media/GoVSi6kWcAEacar?format=jpg&name=900x900,False,,
1911024076103000344,https://x.com/PraveenSingh020/status/1911024076103000344,Praveen Singh,@PraveenSingh020,"@letsblinkit  I ordered Minimalist Vitamin C serum and it came half-open, leaking all over the package. Product was crusted, unusable, and disgusting. This is pathetic handling —totally unacceptable for a skincare product. Fix this ASAP. Will not stay silent on this.  #BlinkitFail",2025-04-12T11:50:19.000Z,1,0,2,https://pbs.twimg.com/media/GoVSIguWAAAKqiX?format=jpg&name=360x360|https://pbs.twimg.com/media/GoVSIqlW8AA8rWd?format=jpg&name=360x360|https://pbs.twimg.com/media/GoVSIjwWcAAMf8j?format=jpg&name=360x360,False,,
1911033298781958642,https://x.com/PraveenSingh020/status/1911033298781958642,Praveen Singh,@PraveenSingh020,"I am sharing this experience publicly because others deserve to know the risks of relying on your service for health and skincare products. I hope you take this complaint as a wake-up
 @letsblinkit  ,  @TheMinimalists   @TheMinimalistIn",2025-04-12T12:26:58.000Z,0,0,2,,False,,
1911018678633574630,https://x.com/shookyshooky07/status/1911018678633574630,joonie's bonsai,@shookyshooky07,@letsblinkit  this has happened for the 2nd time,2025-04-12T11:28:52.000Z,0,0,3,https://pbs.twimg.com/media/GoVNV96WAAA06wM?format=jpg&name=small,False,,
1910689777290014845,https://x.com/AbhijeetM20938/status/1910689777290014845,The Society Reader,@AbhijeetM20938,"Hey  @letsblinkit , horrible experience in Patna! Delivery partners refuse to deliver to the correct location, and your customer service has no clue what's going on. No help, no accountability. Is this how you treat paying customers?

 #Blinkit   #customerService   #Patna",2025-04-11T13:41:56.000Z,0,0,4,,False,,
1910999674607063277,https://x.com/masih_alick/status/1910999674607063277,Alick Masih,@masih_alick,,2025-04-12T10:13:21.000Z,0,0,1,https://pbs.twimg.com/media/GoU8E3iWIAAcQVf?format=jpg&name=small|https://pbs.twimg.com/media/GoU8E69XQAAe8mv?format=jpg&name=small,False,,
1910999677325004841,https://x.com/masih_alick/status/1910999677325004841,Alick Masih,@masih_alick,I have ordered  @manthanx05  well core creatine today and i have also done the payment that has been transacted to the  @letsblinkit  account then too they are not even delivering my order and nor refunding my money back to my account... I humbly request  @letsblinkit  to do it ASAP.,2025-04-12T10:13:22.000Z,0,0,3,,False,,
1911099359397028103,https://x.com/shet14967/status/1911099359397028103,Shreya Shetty,@shet14967,"Extremely disappointed with  @letsblinkit  
They’ve sent me expired products not once, but THREE times—even after I raised a complaint the first time when the item had visible fungus on it. Despite clearly informing them about the expired product, they sent the same thing again.",2025-04-12T16:49:28.000Z,0,0,2,,False,,
1911100646314688566,https://x.com/shet14967/status/1911100646314688566,Shreya Shetty,@shet14967,Do not order from  @letsblinkit  as they only send expired stale items with literal fungus on it and take no responsibility for it,2025-04-12T16:54:35.000Z,0,0,1,,False,,
1911099098578428024,https://x.com/shrikkanth_k/status/1911099098578428024,Shrikkanth,@shrikkanth_k,"@letsblinkit  and  @blinkitcares  - Got a mango pickle bottle that's leaking oil and the pickle inside spoiled that you can clearly see thru. Customer care refunded money for the order. If i had i not noticed, my kids would have been hospitalized due to food poisoning. QC fail!",2025-04-12T16:48:26.000Z,0,0,2,https://pbs.twimg.com/media/GoWWaupXwAEhUyT?format=jpg&name=small|https://pbs.twimg.com/media/GoWWdW6WAAAyQaX?format=jpg&name=small,False,,
1910398399972618689,https://x.com/WiseRaja/status/1910398399972618689,WiseRaja,@WiseRaja,"@letsblinkit  worst experience, received ordered cashews completely broken and powdered  #pethetic",2025-04-10T18:24:06.000Z,0,0,2,,False,,
1911463271703474328,https://x.com/WiseRaja/status/1911463271703474328,WiseRaja,@WiseRaja,"Already sent a dm about the order details 2 days ago
Hope the team got enough time to investigate the issue 
Or you guyz want 30 more days
Pathetic",2025-04-13T16:55:31.000Z,0,0,1,,False,,
1911073303676023135,https://x.com/SatyaS65704764/status/1911073303676023135,Satya,@SatyaS65704764,"@Paytm   @Paytmcare   @letsblinkit 
Paid ₹566 via Paytm on 04/04/2025. Order was cancelled by Blinkit but still no refund.
Txn ID ending in 040606. Why the delay? Please resolve this ASAP. It’s been a week how long will it take?
 #RefundPending   #Paytm   #Blinkit",2025-04-12T15:05:56.000Z,0,0,1,,False,,
